This program will make the robot wander around. It uses some avoidance
actions if obstacles are detected, otherwise it just has a
constant forward velocity.

Press CTRL-C or Escape to exit.
Could not connect to simulator, connecting to robot through serial port /dev/ttyUSB0.
Syncing 0
Syncing 1
Syncing 2
Connected to robot.
Name: Minnesota_1861
Type: Pioneer
Subtype: p3dx
ArConfig: Config version: 2.0
Loaded robot parameters from /usr/local/Aria/params/p3dx.p
ArLaserConnector: There is a port given, but no port type given so using the robot parameters port type
ArLaserConnector: Set serial port to open /dev/ttyUSB1
laser: waiting for laser to power on.
laser: Connected to the laser.
Point: 2240.3 351.978
Point: 2302.55 321.072
Point: 2382.24 290.293
Point: 2467.51 257.454
Point: 2547.34 221.288
Point: 2645.58 183.739
Point: 2746.26 142.982
Point: 2857.27 99.1495
Point: 2977.55 51.6591
Point: 3099 0
Point: 3234.51 -56.1444
Point: 3397.94 -118.03
Point: 3561.14 -185.688
Point: 3745.9 -260.68
Point: 3946.99 -343.742
Point: 4184.05 -437.87
Point: 4457.66 -545.122
Point: 4766.34 -667.335
Point: 5121.39 -808.297
Point: 5540.8 -973.819
Point: 5915.62 -1146.38
Point: 6836.67 -1449.35
Point: 7286.8 -1678.13
Point: 6763.91 -4053.35
Point: 6047.62 -3767.73
Point: 5466 -3537.98
Point: 4969.84 -3340.06
Point: 4557.74 -3178.76
Point: 4190.1 -3031.21
Point: 3863.43 -2897.74
Point: 3573.5 -2777.86
Point: 3327.86 -2680.28
Point: 3098.26 -2584.65
Point: 2904.01 -2508.77
Point: 2732.71 -2444.33
Point: 2577.01 -2386.31
Point: 2427.07 -2326.41
Point: 2294.88 -2276.88
Point: 2161.72 -2219.88
Point: 2046.95 -2175.78
Point: 1935.06 -2129.11
Point: 1833.32 -2088.28
Point: 1740.67 -2053
Point: 1648.57 -2013.59
Point: 1565.77 -1981.06
Point: 1492.45 -1956.66
Point: 1418.69 -1927.89
Point: 1352.14 -1905.35
Point: 1280.1 -1871.14
Point: 1220.56 -1851.78
Point: 1154.68 -1819.06
Point: 1097 -1795.77
Point: 1044.5 -1777.95
Point: 993.437 -1759.73
Point: 943.798 -1741.17
Point: 895.564 -1722.32
Point: 849.152 -1704.11
Point: 801.534 -1680.29
Point: 760.294 -1667.22
Point: 718.972 -1651.39
Point: 678.431 -1634.63
Point: 639.41 -1618.83
Point: 604.907 -1612.51
Point: 567.559 -1596.04
Point: 529.423 -1574
Point: 497.782 -1569.3
Point: 463.43 -1553.4
Point: 429.522 -1535.82
